t_ros,u_cmd_L,u_cmd_R,p_ch_L,p_ch_R,p_sup,L_pos_mm,R_pos_mm,F_L,F_R
1768579764.5453873,5.0,5.0,0.0,0.0,0.0,213.53475952148438,200.7171630859375,117.4648666381836,120.34765625
1768579764.5463877,5.0,5.0,0.0,0.0,0.0,213.90097045898438,201.38858032226562,117.21573638916016,120.13411712646484
1768579764.5473878,5.0,5.0,0.0,0.0,0.0,213.47372436523438,200.6561279296875,117.39368438720703,120.45442199707031
1768579764.548388,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.90029907226562,117.03777313232422,119.95616912841797
1768579764.5493877,5.0,5.0,0.0,0.0,0.0,213.29061889648438,200.90029907226562,117.18014526367188,120.31206512451172
1768579764.5503879,5.0,5.0,0.0,0.0,0.0,213.47372436523438,200.7781982421875,117.14456176757812,120.24088287353516
1768579764.5513883,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.6561279296875,117.5716323852539,120.34765625
1768579764.5523875,5.0,5.0,0.0,0.0,0.0,213.47372436523438,200.5340576171875,117.322509765625,120.34765625
1768579764.5533879,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.83926391601562,117.4648666381836,119.95616912841797
1768579764.5543876,5.0,5.0,0.0,0.0,0.0,213.96200561523438,201.14443969726562,117.50045013427734,120.27647399902344
1768579764.5553474,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.90029907226562,117.53604125976562,120.31206512451172
1768579764.5563877,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.7171630859375,117.42927551269531,120.02735137939453
1768579764.5573874,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.6561279296875,117.25132751464844,120.24088287353516
1768579764.5583875,5.0,5.0,0.0,0.0,0.0,214.02304077148438,201.32754516601562,117.42927551269531,120.24088287353516
1768579764.5593874,5.0,5.0,0.0,0.0,0.0,214.20614624023438,201.44961547851562,117.322509765625,119.99176025390625
1768579764.5603871,5.0,5.0,0.0,0.0,0.0,213.35165405273438,201.20547485351562,117.14456176757812,120.06293487548828
1768579764.561388,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.83926391601562,117.25132751464844,120.06293487548828
1768579764.5623875,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.7171630859375,117.28691864013672,120.20529174804688
1768579764.5633879,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.7781982421875,117.03777313232422,120.02735137939453
1768579764.5643873,5.0,5.0,0.0,0.0,0.0,213.90097045898438,201.08340454101562,117.322509765625,119.99176025390625
1768579764.5653875,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.5950927734375,117.21573638916016,120.34765625
